helység 1	helység2	táv	útdíj	fogyasztás
166	167	4	4	0,760
166	213	2	2	1,380
167	168	22	44	0,830
167	406	18	54	1,100
168	169	8	16	1,470
168	465	4	8	0,780
169	170	13	13	0,770
169	305	14	14	1,020
170	171	15	45	1,330
170	726	16	32	1,300
171	172	6	12	0,940
171	987	22	44	1,460
172	173	25	75	0,820
172	595	13	26	0,820
173	174	7	21	1,280
173	892	25	50	1,180
174	175	2	4	0,840
174	735	23	46	1,080
175	176	4	4	1,110
175	886	22	44	1,330
176	177	11	33	0,880
176	694	7	14	1,000
177	178	18	54	1,230
177	339	17	17	1,420
178	179	19	38	0,970
178	197	11	22	1,190
179	180	9	27	0,820
179	646	18	18	1,420
180	181	17	34	1,050
180	555	2	2	0,830
181	182	16	32	1,070
181	664	18	18	1,250
182	183	15	30	1,080
182	403	11	11	0,890
183	184	21	42	1,310
183	774	18	18	1,280
184	185	7	21	1,230
184	630	18	18	0,900
185	186	15	15	1,150
185	561	22	22	1,000
186	187	20	40	0,860
186	217	21	42	1,180
187	188	14	14	1,270
187	368	17	17	0,990
188	189	22	44	1,120
188	1000	16	48	0,930
189	190	1	3	1,460
189	872	19	57	1,170
190	191	11	22	0,830
190	982	5	10	1,070
191	192	14	14	1,030
191	622	11	22	1,010
192	193	8	8	1,180
192	503	25	75	0,770
193	194	16	32	1,140
193	882	16	48	1,030
194	195	3	3	0,750
194	752	17	51	1,240
195	196	19	19	0,780
195	601	12	24	0,990
196	197	18	18	0,930
196	605	21	21	0,810
197	198	20	40	1,290
197	487	11	22	1,270
198	199	23	46	1,280
198	849	9	18	0,780
199	200	13	39	1,350
199	689	9	18	1,470
200	201	7	21	1,060
200	796	22	44	0,880
201	202	4	12	1,010
201	345	12	24	0,830
202	203	17	17	0,850
202	666	25	25	1,320
203	204	22	66	1,160
203	274	23	69	1,290
204	205	23	69	1,050
204	369	8	8	1,130
205	206	8	8	0,750
205	614	9	18	1,100
206	207	3	3	1,210
206	642	13	39	1,110
207	208	8	16	0,960
207	246	2	6	1,450
208	209	4	4	1,220
208	264	20	20	1,140
209	210	3	6	0,920
209	926	9	9	0,830
210	211	9	18	1,040
210	432	15	15	0,970
211	212	22	22	1,500
211	968	10	20	0,800
212	213	24	48	1,420
212	342	5	5	1,490
213	214	15	15	1,490
213	821	18	36	0,930
214	215	6	18	0,810
214	327	21	63	1,310
215	216	18	18	1,170
215	433	6	6	1,150
216	217	3	9	0,780
216	537	20	60	1,500
217	218	15	45	1,170
217	472	14	14	1,200
218	219	4	4	0,910
218	753	10	10	1,250
219	220	19	19	1,420
219	950	4	4	1,310
220	221	12	12	1,280
220	558	16	16	0,750
221	222	5	15	1,170
221	370	13	13	1,460
222	223	12	36	1,190
222	287	17	34	0,970
223	224	18	54	1,010
223	669	23	69	1,080
224	225	16	32	0,780
224	720	12	36	0,760
225	226	25	25	1,350
225	699	10	30	1,400
226	227	8	24	1,070
226	253	21	63	0,940
227	228	9	18	1,170
227	692	8	24	0,910
228	229	23	69	0,950
228	317	14	14	1,320
229	230	21	21	1,150
229	895	14	14	1,120
230	231	20	40	0,980
230	520	11	22	0,760
231	232	24	72	1,120
231	764	5	15	1,160
232	233	2	6	1,250
232	842	24	24	0,890
233	234	25	50	0,790
233	425	19	57	1,460
234	235	11	11	1,080
234	454	18	54	0,970
235	236	21	21	1,270
235	628	23	46	0,850
236	237	10	30	0,890
236	978	1	2	1,370
237	238	6	12	0,800
237	346	3	9	1,000
238	239	19	57	0,900
238	824	4	12	1,310
239	240	2	2	1,320
239	654	12	24	1,170
240	241	14	14	1,430
240	922	17	17	1,110
241	242	4	8	1,220
241	974	1	1	1,290
242	243	19	19	0,760
242	952	4	4	0,910
243	244	3	9	1,140
243	420	1	1	1,170
244	245	6	18	0,850
244	649	3	9	1,210
245	246	4	8	1,080
245	951	9	9	0,840
246	247	16	48	1,470
246	815	7	7	1,490
247	248	2	2	1,120
247	552	2	4	0,790
248	249	5	5	1,250
248	735	4	8	0,940
249	250	21	63	0,760
249	849	10	10	1,160
250	251	14	14	1,490
250	516	2	6	1,450
251	252	9	27	1,180
251	323	13	26	0,750
252	253	8	24	1,030
252	839	5	10	0,760
253	254	9	9	1,450
253	778	15	30	1,300
254	255	14	28	1,480
254	994	19	19	1,360
255	256	6	18	1,270
255	361	2	2	1,080
256	257	11	22	1,470
256	671	24	48	1,100
257	258	1	3	1,270
257	678	8	16	0,960
258	259	2	4	1,310
258	641	3	3	0,910
259	260	25	50	0,870
259	861	17	51	1,000
260	261	16	32	1,320
260	299	7	7	1,390
261	262	13	39	0,930
261	472	21	63	1,380
262	263	6	6	0,750
262	531	19	38	1,500
263	264	22	66	1,200
263	640	11	33	1,150
264	265	11	11	1,320
264	477	15	45	1,120
265	266	13	39	1,420
265	590	6	6	1,460
266	267	6	12	1,190
266	463	8	16	1,170
267	268	5	5	1,020
267	776	21	42	1,230
268	269	7	7	1,360
268	442	4	4	1,420
269	270	8	16	1,180
269	468	9	27	1,130
270	271	1	3	1,320
270	938	3	9	0,810
271	272	10	10	0,750
271	574	8	24	1,120
272	273	4	12	0,920
272	821	6	12	1,500
273	274	11	22	1,210
273	280	24	48	1,170
274	275	3	3	0,950
274	987	6	12	1,470
275	276	3	9	1,210
275	589	17	17	1,000
276	277	25	50	1,460
276	386	11	11	1,140
277	278	16	32	1,120
277	564	12	24	1,440
278	279	9	9	1,230
278	885	11	33	1,450
279	280	2	2	1,070
279	280	5	5	0,780
280	281	15	30	0,810
280	799	3	9	1,450
281	282	6	6	1,190
281	767	12	12	1,100
282	283	15	30	0,810
282	656	15	45	0,780
283	284	20	60	1,260
283	484	16	16	0,780
284	285	22	44	0,960
284	506	19	38	1,130
285	286	10	20	0,900
285	325	8	16	0,930
286	287	18	36	1,060
286	990	11	11	1,140
287	288	21	21	1,450
287	950	24	48	0,840
288	289	25	25	1,000
288	371	24	48	0,910
289	290	14	14	1,180
289	729	21	42	0,990
290	291	19	57	1,150
290	603	7	7	1,290
291	292	4	8	0,800
291	393	5	5	1,310
292	293	2	2	1,250
292	565	10	30	1,310
293	294	3	9	1,260
293	558	7	14	1,340
294	295	23	46	1,160
294	649	1	1	1,100
295	296	19	19	0,920
295	620	21	21	1,230
296	297	22	44	0,940
296	750	17	17	1,000
297	298	10	20	0,890
297	518	5	15	1,480
298	299	12	12	1,280
298	938	20	60	1,210
299	300	12	24	0,840
299	864	8	16	1,280
300	301	12	12	1,040
300	388	7	7	1,370
301	302	4	4	1,260
301	526	6	12	1,260
302	303	17	51	0,920
302	466	5	15	1,210
303	304	12	24	0,820
303	396	4	12	0,980
304	305	2	6	1,140
304	874	22	22	1,060
305	306	24	48	0,870
305	821	15	45	0,850
306	307	17	51	1,490
306	513	5	10	1,470
307	308	1	2	1,070
307	802	22	22	0,790
308	309	11	33	1,270
308	666	16	16	1,000
309	310	9	9	1,310
309	460	18	36	0,900
310	311	23	23	1,430
310	557	10	30	0,850
311	312	7	14	1,310
311	702	16	32	1,240
312	313	21	63	0,820
312	525	10	10	0,850
313	314	20	40	0,850
313	658	14	14	1,460
314	315	17	34	1,420
314	402	5	5	1,260
315	316	23	46	1,060
315	492	2	4	1,230
316	317	19	19	1,490
316	918	16	32	0,950
317	318	2	2	1,090
317	724	14	14	1,240
318	319	23	46	0,850
318	534	11	11	1,150
319	320	1	1	1,240
319	323	5	15	1,030
320	321	12	12	0,990
320	965	17	51	0,930
321	322	24	72	0,980
321	996	14	28	1,050
322	323	9	9	0,750
322	703	12	12	1,180
323	324	3	9	0,910
323	842	8	16	1,270
324	325	12	12	1,490
324	864	15	15	0,770
325	326	21	21	0,920
325	910	1	3	1,040
326	327	21	42	0,920
326	510	7	7	0,960
327	328	4	12	1,130
327	964	18	36	1,270
328	329	25	25	1,250
328	960	18	18	1,400
329	330	24	72	1,320
329	988	9	18	0,800
330	331	10	20	0,910
330	787	25	50	1,490
331	332	17	51	1,120
331	942	2	6	0,780
332	333	6	6	1,030
332	523	2	2	1,080
333	334	21	42	1,310
333	906	23	69	1,360
334	335	20	60	0,820
334	364	13	26	1,060
335	336	9	27	0,880
335	975	17	34	0,850
336	337	3	6	0,790
336	951	20	20	0,750
337	338	16	32	1,350
337	939	14	28	1,370
338	339	20	40	1,430
338	495	23	46	1,330
339	340	13	39	1,470
339	740	18	54	1,010
340	341	12	24	1,260
340	867	1	1	1,310
341	342	7	14	1,190
341	406	6	12	1,340
342	343	15	45	1,380
342	606	6	6	1,300
343	344	5	10	1,360
343	496	5	10	1,200
344	345	15	45	1,280
344	994	21	21	0,870
345	346	3	6	1,270
345	709	13	26	1,220
346	347	24	48	1,190
346	836	13	13	0,970
347	348	8	8	1,210
347	618	6	12	0,830
348	349	6	18	1,280
348	501	22	66	1,330
349	350	2	2	1,460
349	673	18	54	0,780
350	351	12	36	1,290
350	974	7	14	1,050
351	352	16	48	1,280
351	376	21	21	0,970
352	353	16	48	1,060
352	947	4	4	1,330
353	354	1	2	0,960
353	543	3	9	1,110
354	355	12	36	1,100
354	783	19	57	1,380
355	356	16	16	1,400
355	838	11	11	1,170
356	357	14	42	1,350
356	554	21	63	1,030
357	358	9	18	1,500
357	515	4	4	1,180
358	359	4	12	0,810
358	489	20	60	1,320
359	360	25	75	1,420
359	577	8	8	0,980
360	361	8	24	1,030
360	919	7	7	1,350
361	362	2	4	1,070
361	950	22	22	1,440
362	363	6	6	0,840
362	715	16	16	0,820
363	364	21	63	0,760
363	725	8	8	0,880
364	365	8	24	1,240
364	762	3	3	1,120
365	366	23	23	1,320
365	468	2	6	1,240
366	367	25	25	1,440
366	926	5	10	0,880
367	368	6	6	1,160
367	650	9	18	1,220
368	369	18	54	1,050
368	437	6	18	1,190
369	370	11	11	1,140
369	860	24	48	1,370
370	371	22	22	1,140
370	549	4	4	0,890
371	372	13	39	0,940
371	896	22	22	1,310
372	373	3	6	0,900
372	480	1	2	1,120
373	374	16	16	1,140
373	427	2	4	1,150
374	375	2	6	1,000
374	469	2	2	0,910
375	376	5	5	1,010
375	670	4	12	1,070
376	377	15	45	0,860
376	383	5	10	1,460
377	378	12	12	0,920
377	397	15	30	0,780
378	379	22	66	0,880
378	677	6	12	1,340
379	380	25	25	1,020
379	627	17	51	1,320
380	381	25	75	1,410
380	976	4	8	0,850
381	382	22	22	0,990
381	730	18	54	0,940
382	383	2	2	1,100
382	447	18	18	0,760
383	384	5	10	1,240
383	862	7	21	0,940
384	385	25	50	1,100
384	951	13	39	1,420
385	386	3	3	0,940
385	957	1	1	1,320
386	387	3	9	1,010
386	499	1	1	1,150
387	388	9	27	1,010
387	482	20	60	1,170
388	389	7	21	0,920
388	463	2	6	0,860
389	390	23	23	1,080
389	677	24	72	0,870
390	391	21	63	1,090
390	486	22	22	1,370
391	392	4	12	1,320
391	520	17	34	1,060
392	393	17	51	1,040
392	608	13	26	0,800
393	394	3	6	0,840
393	905	2	2	0,790
394	395	6	18	1,180
394	669	22	66	1,370
395	396	22	22	1,390
395	637	20	20	0,970
396	397	12	36	1,220
396	907	25	75	1,110
397	398	7	21	1,350
397	543	20	60	1,250
398	399	20	20	1,380
398	532	18	54	1,100
399	400	1	2	1,410
399	510	3	9	1,300
400	401	16	16	0,840
400	921	1	3	1,280
401	402	12	36	1,140
401	576	5	5	0,940
402	403	11	22	1,160
402	418	21	63	0,980
403	404	12	12	0,900
403	1000	7	21	0,940
404	405	11	22	1,040
404	473	24	72	0,890
405	406	1	3	0,850
405	952	5	15	0,980
406	407	8	24	1,000
406	919	21	63	1,180
407	408	9	27	1,040
407	779	11	33	1,460
408	409	5	5	0,960
408	462	11	33	1,390
409	410	6	12	0,820
409	888	13	39	1,500
410	411	12	36	0,950
410	683	7	7	0,760
411	412	1	3	1,490
411	596	7	21	1,140
412	413	24	72	1,110
412	655	25	75	1,150
413	414	22	22	1,000
413	777	9	9	0,990
414	415	2	4	1,300
414	480	18	54	1,430
415	416	4	4	0,980
415	549	4	8	0,960
416	417	20	20	1,260
416	590	4	4	1,270
417	418	3	9	1,480
417	461	22	22	1,320
418	419	14	42	0,990
418	730	21	63	1,210
419	420	6	12	1,050
419	632	16	32	1,390
420	421	1	3	0,890
420	817	23	23	0,810
421	422	10	30	1,280
421	799	19	38	1,420
422	423	20	20	0,910
422	540	5	5	1,070
423	424	8	8	0,860
423	723	1	3	1,250
424	425	12	24	0,760
424	658	19	38	1,120
425	426	23	69	1,060
425	518	24	48	0,800
426	427	16	48	0,750
426	847	22	44	1,320
427	428	21	63	0,830
427	834	9	27	1,380
428	429	4	4	1,430
428	684	25	75	1,270
429	430	10	10	0,900
429	590	25	50	1,420
430	431	9	9	1,260
430	604	5	10	0,840
431	432	3	3	1,110
431	561	10	30	0,760
432	433	19	19	1,000
432	574	7	7	1,240
433	434	7	7	1,260
433	537	18	54	1,130
434	435	11	22	0,990
434	669	2	4	1,110
435	436	1	3	0,960
435	500	21	63	1,410
436	437	25	25	1,080
436	932	19	57	1,380
437	438	7	21	0,780
437	642	1	3	1,370
438	439	18	36	1,310
438	672	3	6	1,050
439	440	3	3	1,390
439	472	16	48	1,080
440	441	24	72	0,940
440	538	20	60	1,030
441	442	6	18	0,770
441	587	6	6	0,800
442	443	16	16	0,910
442	972	16	16	1,070
443	444	9	27	0,860
443	986	17	17	1,290
444	445	21	42	1,290
444	948	7	7	0,790
445	446	13	13	1,270
445	485	5	5	1,360
446	447	19	57	1,260
446	886	17	51	0,750
447	448	18	54	1,060
447	955	20	60	1,370
448	449	24	24	1,390
448	743	12	24	0,830
449	450	21	42	1,190
449	719	9	9	1,360
450	451	21	63	1,280
450	671	25	50	1,400
451	452	18	36	0,960
451	869	15	15	0,780
452	453	6	6	1,020
452	539	25	25	0,870
453	454	1	1	0,910
453	875	11	11	0,850
454	455	3	3	1,200
454	895	14	42	1,030
455	456	6	6	0,840
455	906	19	19	1,430
456	457	6	6	1,040
456	912	8	8	0,790
457	458	21	63	1,180
457	634	14	28	1,060
458	459	4	8	0,820
458	956	7	14	0,780
459	460	13	26	0,900
459	471	17	17	1,260
460	461	7	7	1,370
460	883	20	60	1,340
461	462	14	14	1,490
461	496	25	25	0,880
462	463	16	16	0,840
462	728	24	24	1,400
463	464	21	63	1,360
463	790	9	18	0,960
464	465	13	13	1,060
464	469	5	10	0,800
465	466	23	23	0,770
465	580	19	38	1,160
466	467	1	2	1,200
466	590	16	32	0,850
467	468	9	18	1,140
467	972	13	39	0,780
468	469	10	10	1,270
468	640	11	22	0,860
469	470	15	15	0,790
469	878	3	6	1,270
470	471	13	13	0,880
470	673	22	66	1,300
471	472	4	12	1,340
471	545	21	21	1,120
472	473	1	2	1,270
472	726	24	48	0,930
473	474	17	51	1,300
473	608	24	48	1,200
474	475	12	12	0,830
474	1000	5	10	1,480
475	476	18	36	1,330
475	759	17	34	1,350
476	477	23	46	1,020
476	534	17	34	1,320
477	478	21	63	1,250
477	966	14	42	0,810
478	479	13	39	1,310
478	746	8	16	1,180
479	480	19	19	1,080
479	697	12	24	0,820
480	481	8	16	0,890
480	567	14	14	1,300
481	482	21	21	0,990
481	514	21	63	1,100
482	483	11	33	0,900
482	735	6	18	0,850
483	484	17	34	1,430
483	553	16	48	1,170
484	485	4	4	0,830
484	983	22	66	1,440
485	486	25	25	1,160
485	601	25	50	1,490
486	487	12	36	1,470
486	746	20	20	0,980
487	488	13	26	1,440
487	715	18	36	1,060
488	489	14	14	1,390
488	991	14	28	0,800
489	490	21	63	1,000
489	936	20	40	0,850
490	491	14	42	1,320
490	594	4	12	1,130
491	492	9	27	1,380
491	979	8	24	1,390
492	493	3	6	1,500
492	749	13	13	1,150
493	494	24	48	1,220
493	984	23	69	1,380
494	495	1	2	1,430
494	802	2	4	1,260
495	496	4	8	0,900
495	871	20	60	1,140
496	497	25	50	1,320
496	636	1	3	1,220
497	498	3	6	1,120
497	815	10	30	1,360
498	499	9	18	1,300
498	738	15	15	1,170
499	500	4	12	1,500
499	564	16	48	0,830
500	501	20	60	0,910
500	528	12	36	1,480
501	502	8	24	1,250
501	536	18	36	1,430
502	503	23	69	0,940
502	545	4	8	1,390
503	504	1	3	1,060
503	965	25	50	1,130
504	505	4	8	1,010
504	988	12	24	1,020
505	506	11	33	1,060
505	928	7	14	1,010
506	507	21	42	1,240
506	654	2	2	1,020
507	508	24	48	1,470
507	808	18	36	1,130
508	509	12	24	1,360
508	758	21	63	0,870
509	510	3	6	1,400
509	548	12	12	1,360
510	511	12	12	1,460
510	842	10	10	1,080
511	512	15	45	1,100
511	711	17	51	0,940
512	513	17	34	1,300
512	727	23	69	0,940
513	514	10	20	0,750
513	517	8	24	1,380
514	515	3	3	1,330
514	687	11	22	0,920
515	516	18	18	1,090
515	835	2	2	0,840
516	517	13	39	0,890
516	728	24	24	1,080
517	518	14	28	1,110
517	732	14	14	1,080
518	519	20	40	1,000
518	834	1	1	1,070
519	520	18	54	1,090
519	582	23	23	0,790
520	521	19	19	1,110
520	742	1	3	1,120
521	522	5	15	1,440
521	645	2	4	0,950
522	523	12	24	1,150
522	747	1	2	1,050
523	524	5	5	1,170
523	855	12	12	1,360
524	525	8	8	1,140
524	578	19	57	1,060
525	526	24	48	1,350
525	708	10	30	1,050
526	527	7	14	0,940
526	755	21	21	1,460
527	528	25	50	1,310
527	814	17	17	0,920
528	529	22	22	1,080
528	593	1	3	1,240
529	530	3	6	1,010
529	575	7	14	1,270
530	531	6	12	0,850
530	562	21	42	0,810
531	532	17	17	0,920
531	714	17	51	1,500
532	533	25	75	0,800
532	864	20	60	1,400
533	534	17	17	1,260
533	552	7	7	1,340
534	535	9	18	1,440
534	913	23	46	0,750
535	536	5	5	1,470
535	821	23	69	0,870
536	537	2	6	1,060
536	944	2	2	1,340
537	538	21	63	1,150
537	948	1	1	1,480
538	539	20	40	0,850
538	852	19	57	1,490
539	540	25	25	0,790
539	994	22	22	1,270
540	541	3	9	1,400
540	807	16	48	1,350
541	542	9	27	0,770
541	802	6	12	1,320
542	543	17	17	1,330
542	590	11	22	0,810
543	544	22	22	1,400
543	550	23	69	1,190
544	545	4	8	0,750
544	714	21	21	0,830
545	546	22	22	1,280
545	834	13	26	0,770
546	547	9	27	1,070
546	627	8	24	1,230
547	548	6	18	0,890
547	636	4	4	1,480
548	549	7	21	1,450
548	624	16	32	0,750
549	550	24	72	1,270
549	938	25	50	1,070
550	551	1	2	0,760
550	710	2	4	1,250
551	552	7	14	1,400
551	804	24	72	0,810
552	553	6	12	0,980
552	993	25	25	1,130
553	554	23	23	1,150
553	725	13	26	1,110
554	555	19	57	0,950
554	559	7	14	1,160
555	556	8	16	1,210
555	569	9	9	1,320
556	557	25	75	1,260
556	938	10	20	0,850
557	558	15	30	1,140
557	910	16	48	1,470
558	559	13	39	1,440
558	873	12	12	1,350
559	560	11	22	0,980
559	810	21	63	1,400
560	561	6	6	0,970
560	886	17	17	0,810
561	562	12	24	0,870
561	604	13	39	1,130
562	563	11	33	0,830
562	604	12	12	1,430
563	564	18	18	1,370
563	902	1	2	1,240
564	565	22	22	1,070
564	773	20	60	1,340
565	566	10	30	0,930
565	615	5	5	1,480
566	567	2	6	1,080
566	829	23	46	0,770
567	568	7	14	0,770
567	794	17	34	0,840
568	569	19	57	1,480
568	846	7	7	1,200
569	570	19	38	1,250
569	834	16	48	0,880
570	571	9	18	1,350
570	655	25	75	1,190
571	572	10	10	0,940
571	600	25	75	1,210
572	573	4	4	1,490
572	773	23	69	1,490
573	574	20	40	1,430
573	600	20	40	1,390
574	575	21	42	1,440
574	742	25	50	1,100
575	576	14	28	1,310
575	937	22	22	1,040
576	577	9	18	1,210
576	911	24	48	0,760
577	578	6	6	1,470
577	632	4	4	1,220
578	579	17	17	1,180
578	700	15	45	1,180
579	580	16	32	0,910
579	723	8	24	1,260
580	581	18	36	1,400
580	702	7	7	0,970
581	582	4	8	1,040
581	691	14	14	0,850
